0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
ux,diseno-ui,analytics,agile,diseno-web,adobe-suite,scrum,wireframes,figma,user-testing,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,analytics,diseno-web,service-design,design-thinking,wireframes,research,figma,jira,user-testing,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,analytics,agile,diseno-web,figma,,,,,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,html5,css,agile,usabilidad,diseno-web,adobe-suite,sketch,design-thinking,wireframes,english,research,product-design,figma,user-testing,design-systems,,,,,,,,,,,,,,,,
diseno-ui,data-analysis,excel,usabilidad,diseno-web,adobe-suite,service-design,sketch,user-research,wireframes,figma,ux-researcher,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,agile,diseno-web,adobe-suite,scrum,wireframes,research,figma,,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,analytics,agile,diseno-web,adobe-suite,scrum,wireframes,figma,user-testing,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,diseno-web,adobe-suite,sketch,figma,,,,,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,analytics,agile,diseno-web,adobe-suite,scrum,wireframes,figma,user-testing,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,agile,scrum,product-design,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,,,,,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,analytics,agile,diseno-web,adobe-suite,graphic-design,scrum,user-research,research,figma,user-testing,ux-researcher,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,agile,diseno-web,adobe-suite,graphic-design,scrum,wireframes,research,figma,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,wireframes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,usabilidad,diseno-web,motion-graphics,adobe-suite,photoshop,wireframes,figma,user-testing,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,agile,diseno-web,sketch,english,figma,,,,,,,,,,,,,,,,,,,,,,,,,,
java,python,postgresql,sql,oracle,scala,bigquery,etl,english,back-end,cloud,data-architecture,sql-server,,,,,,,,,,,,,,,,,,,,
python,sql,nosql,virtualization,big-data,amazon-web-services,ai,machine-learning,deep-learning,r,data-science,cloud-computing,keras,pytorch,back-end,cloud,machine-learning-engineer,data-architecture,,,,,,,,,,,,,,,
java,python,redis,agile,mysql,postgresql,linux,nosql,scala,virtualization,amazon-web-services,mongodb,cloud-computing,api,elasticsearch,back-end,kafka,ansible,cloud-gcp,security-engineer,cloud,infrastructure-as-code,terraform,cloudformation,gitlab,github,data-architecture,,,,,,
javascript,java,python,data-analysis,node-js,business-intelligence,etl,back-end,data-visualization,tableau,,,,,,,,,,,,,,,,,,,,,,,
python,postgresql,data-analysis,sap,virtualization,amazon-web-services,power-bi,cloud-computing,back-end,data-visualization,cloud,,,,,,,,,,,,,,,,,,,,,,
python,business-intelligence,ai,machine-learning,power-bi,data-science,keras,back-end,data-visualization,tableau,machine-learning-engineer,,,,,,,,,,,,,,,,,,,,,,
c,sql,sap,c-sharp,continuous-integration,project-management,maven,etl,jenkins,automatizacion,back-end,data-engineer,,,,,,,,,,,,,,,,,,,,,
c,python,sql,ai,machine-learning,data-science,english,back-end,data-engineer,machine-learning-engineer,,,,,,,,,,,,,,,,,,,,,,,
analytics,data-analysis,business-intelligence,data-visualization,tableau,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,analytics,sql,data-science,back-end,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analytics,data-analysis,marketing,sql,business-intelligence,etl,crm,salesforce,data-visualization,tableau,,,,,,,,,,,,,,,,,,,,,,,
excel,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,data-analysis,sql,business-intelligence,etl,english,back-end,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,virtualization,amazon-web-services,azure,power-bi,cloud-computing,cloud-gcp,data-visualization,cloud,data-governance,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,,,,,,,,,,,,,,,,,,,,,,
analytics,mysql,postgresql,data-analysis,sql,business-intelligence,bigquery,ai,machine-learning,etl,power-bi,data-science,data-visualization,tableau,security-engineer,user-testing,data-engineer,cloud,machine-learning-engineer,data-governance,data-architecture,,,,,,,,,,,,
python,data-analysis,sql,nosql,virtualization,amazon-web-services,azure,etl,data-science,cloud-computing,english,back-end,cloud-gcp,tech-lead,cloud,data-governance,data-architecture,,,,,,,,,,,,,,,,
python,agile,machine-learning,english,back-end,cloud-gcp,ci-cd,data-engineer,machine-learning-engineer,,,,,,,,,,,,,,,,,,,,,,,,
python,analytics,agile,sql,ai,data-science,back-end,,,,,,,,,,,,,,,,,,,,,,,,,,
data-science,data-governance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,data-analysis,sql,power-bi,back-end,data-visualization,data-architecture,,,,,,,,,,,,,,,,,,,,,,,,,,
python,excel,sql,etl,power-bi,back-end,data-visualization,windows-server,software-analyst,,,,,,,,,,,,,,,,,,,,,,,,
python,data-analysis,sql,business-intelligence,virtualization,amazon-web-services,etl,cloud-computing,back-end,qlik-sense,data-visualization,tableau,cloud,,,,,,,,,,,,,,,,,,,,
data-analysis,sql,business-intelligence,virtualization,amazon-web-services,azure,power-bi,cloud-computing,qlik-sense,cloud-gcp,data-visualization,tableau,cloud,data-architecture,,,,,,,,,,,,,,,,,,,
java,python,sql,web-server,scala,hadoop,big-data,etl,spark,apache-spark,nifi,back-end,data-engineer,cloud,data-architecture,,,,,,,,,,,,,,,,,,
python,data-analysis,sql,business-intelligence,big-data,ai,machine-learning,power-bi,r,english,back-end,data-visualization,tableau,,,,,,,,,,,,,,,,,,,,
python,data-analysis,sql,virtualization,amazon-web-services,etl,cloud-computing,english,back-end,data-visualization,data-engineer,cloud,,,,,,,,,,,,,,,,,,,,,
agile,mysql,postgresql,git,sql,business-intelligence,virtualization,amazon-web-services,scrum,spark,cloud-computing,apache-spark,api,postman,jira,data-visualization,tableau,ci-cd,cloud,infrastructure-as-code,terraform,confluence,data-architecture,sql-server,,,,,,,,,
postgresql,sql,oracle,software-analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
business-intelligence,data-science,data-governance,cybersecurity-certifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analytics,nosql,virtualization,big-data,amazon-web-services,cloud-computing,dynamodb,security-engineer,cloud,,,,,,,,,,,,,,,,,,,,,,,,
business-analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-analysis,sql,business-intelligence,etl,data-governance,sql-server,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,data-analysis,big-data,r,back-end,business-analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,sql,business-intelligence,hadoop,virtualization,big-data,amazon-web-services,azure,r,data-science,spark,cloud-computing,apache-spark,back-end,cloud-gcp,data-visualization,tableau,cloud,data-architecture,,,,,,,,,,,,,,
excel,sql,sap,power-bi,data-visualization,accounting,sql-server,,,,,,,,,,,,,,,,,,,,,,,,,,
python,analytics,sql,big-data,bigquery,english,back-end,data-engineer,,,,,,,,,,,,,,,,,,,,,,,,,
python,data-analysis,sql,power-bi,back-end,data-visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,sql,english,back-end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,data-analysis,sql,virtualization,amazon-web-services,etl,power-bi,cloud-computing,back-end,data-visualization,cloud,data-architecture,,,,,,,,,,,,,,,,,,,,,
data-analysis,excel,power-bi,ingeniero-comercial,data-visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postgresql,sql,amazon-web-services,data-transformation,english,dynamodb,data-engineer,sql-server,,,,,,,,,,,,,,,,,,,,,,,,,
python,git,big-data,r,data-science,api,english,back-end,gitlab,github,,,,,,,,,,,,,,,,,,,,,,,
python,sql,business-intelligence,cloud-computing,back-end,cloud-gcp,data-visualization,tableau,data-engineer,cloud,,,,,,,,,,,,,,,,,,,,,,,
mysql,sql,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,data-analysis,excel,sql,power-bi,back-end,data-visualization,,,,,,,,,,,,,,,,,,,,,,,,,,
analytics,marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,analytics,excel,sql,business-intelligence,big-data,r,back-end,continual-improvement-process,,,,,,,,,,,,,,,,,,,,,,,,
sql,etl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,analytics,data-analysis,marketing,business-intelligence,big-data,power-bi,r,back-end,data-visualization,tableau,,,,,,,,,,,,,,,,,,,,,,
python,analytics,data-analysis,sql,sap,business-intelligence,big-data,power-bi,english,back-end,data-visualization,erp,,,,,,,,,,,,,,,,,,,,,
python,sql,back-end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,analytics,sql,sap,business-intelligence,big-data,power-bi,r,back-end,data-visualization,,,,,,,,,,,,,,,,,,,,,,,
python,sql,virtualization,big-data,amazon-web-services,azure,ai,machine-learning,r,data-science,cloud-computing,back-end,cloud-gcp,cloud,machine-learning-engineer,,,,,,,,,,,,,,,,,,
analytics,data-analysis,excel,marketing,sql,business-intelligence,etl,power-bi,data-visualization,,,,,,,,,,,,,,,,,,,,,,,,
qa,agile,english,data-science,ios,api,jira,user-testing,mobile,android,,,,,,,,,,,,,,,,,,,,,,,
devops,postgresql,virtualization,docker,git,azure,amazon-web-services,kubernetes,android-testing,soapui,sonarqube,back-end,ci-cd,mockito,cloud-computing,testing-frameworks,cloud,junit,java,spring-boot,sonarqube-14cb7487-289b-4f1b-ae29-a5fd66c7b505,,,,,,,,,,,,
qa,user-testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virtualization,azure,amazon-web-services,cloud-gcp,cloud-computing,cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,
sql,devops,python,virtualization,azure,amazon-web-services,kubernetes,cloud-gcp,back-end,ci-cd,cloud-computing,english,terraform,cloud,infrastructure-as-code,gitlab,,,,,,,,,,,,,,,,,
qa,qa-automation,scrum,cypress,user-testing,agile,typescript,english,javascript,testing-frameworks,,,,,,,,,,,,,,,,,,,,,,,
devops,scrum,git,azure,data-science,jira,automatizacion,ci-cd,agile,mobile,cloud-computing,android,cloud,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,bitbucket,github,,,,,,,,,,,,,,,,,
prtg,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devops,scala,postgresql,azure,data-architecture,kubernetes,kafka,ci-cd,cloud-computing,english,terraform,cloud,java,infrastructure-as-code,sap,,,,,,,,,,,,,,,,,,
groovy,devops,kubernetes,back-end,ci-cd,terraform,infrastructure-as-code,security-engineer,,,,,,,,,,,,,,,,,,,,,,,,,
virtualization,amazon-web-services,cloud-computing,cloud,cloud-engineer,infrastructure-as-code,,,,,,,,,,,,,,,,,,,,,,,,,,,
ux,virtualization,red-hat,security-engineer,linux,unix,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysql,sql,postgresql,virtualization,docker,elasticsearch,kubernetes,ansible,data-analysis,terraform,infrastructure-as-code,,,,,,,,,,,,,,,,,,,,,,
qa,planning,data-science,automatizacion,user-testing,agile,english,qa-engineer,,,,,,,,,,,,,,,,,,,,,,,,,
virtualization,selenium,amazon-web-services,tdd,postman,cloud-gcp,back-end,automatizacion,cloud-computing,qa-engineer,testing-frameworks,cloud,java,jmeter,,,,,,,,,,,,,,,,,,,
virtualization,docker,git,amazon-web-services,kubernetes,sre,cloud-computing,cloud,linux,,,,,,,,,,,,,,,,,,,,,,,,
lean,devops,continuous-integration,oracle,git,kubernetes,jenkins,jira,ci-cd,agile,cloud,,,,,,,,,,,,,,,,,,,,,,
marketing,oracle,ventas,cloud,customer-experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,cloud,erp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,cloud,erp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virtualization,azure,amazon-web-services,cloud-gcp,ci-cd,cloud-computing,cloud,,,,,,,,,,,,,,,,,,,,,,,,,,
virtualization,docker,kubernetes,cloud-gcp,cloud-computing,cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa,rest,postman,jira,functional-qa,functional-analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa,agile,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,kubernetes,sre,back-end,terraform,cloud,infrastructure-as-code,linux,,,,,,,,,,,,,,,,,,,,,,,,,
devops,continuous-integration,azure,kubernetes,api,cloud-gcp,ci-cd,user-testing,cloud-computing,cloud,infrastructure-as-code,networks,,,,,,,,,,,,,,,,,,,,,
qa,qa-automation,tdd,cypress,automatizacion,karate,testing-frameworks,appium,,,,,,,,,,,,,,,,,,,,,,,,,
sql,oracle,postgresql,red-hat,security-engineer,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,
english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysql,nosql,postgresql,virtualization,mongodb,docker,microservices,data-architecture,amazon-web-services,api,dynamodb,ansible,mariadb,cloud-computing,english,terraform,cloud,infrastructure-as-code,cloudformation,cloud-engineer,,,,,,,,,,,,,
qa,data-science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devops,python,virtualization,data-architecture,amazon-web-services,ansible,back-end,ci-cd,cloud-computing,cloud,software-architect,linux,,,,,,,,,,,,,,,,,,,,,
mysql,html5,php,css,vue-js,git,api,back-end,laravel,javascript,front-end,,,,,,,,,,,,,,,,,,,,,,
qa,jira,agile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nosql,sql,postgresql,virtualization,mongodb,etl,azure,amazon-web-services,sql-server,dynamodb,cloud-gcp,mariadb,cloud-computing,cloud,,,,,,,,,,,,,,,,,,,
virtualization,docker,kubernetes,sre,cloud-gcp,cloud-computing,cloud,,,,,,,,,,,,,,,,,,,,,,,,,,
angularjs,python,git,back-end,agile,javascript,cloud,angular,java,front-end,software-analyst,,,,,,,,,,,,,,,,,,,,,,
node-js,qa,continuous-integration,python,virtualization,docker,microservices,selenium,data-architecture,amazon-web-services,jenkins,api,tdd,back-end,automatizacion,tech-lead,cloud-computing,english,javascript,testing-frameworks,cloud,appium,java,github,,,,,,,,,
devops,scrum,git,azure,data-science,jira,ci-cd,agile,cloud-computing,qa-engineer,cloud,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,confluence,bitbucket,github,,,,,,,,,,,,,,,,,,
qa,selenium,tdd,postman,automatizacion,testing-frameworks,jmeter,,,,,,,,,,,,,,,,,,,,,,,,,,
qa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysql,web-server,postgresql,virtualization,docker,git,azure,kubernetes,nginx,ci-cd,siem,cloud-computing,english,cloud,security-engineer,linux,infrastructure-engineer,bitbucket,siem-c1092d5c-11b9-4644-a424-7c3a3cc53224,,,,,,,,,,,,,,
qa,devops,azure,selenium,tdd,android-testing,postman,ci-cd,bdd,cloud-computing,testing-frameworks,cloud,junit,,,,,,,,,,,,,,,,,,,,
qa,html5,continuous-integration,css,virtualization,selenium,amazon-web-services,tdd,soapui,postman,jira,back-end,automatizacion,bdd,cloud-computing,javascript,testing-frameworks,cloud,appium,front-end,gitlab,,,,,,,,,,,,
sql,python,virtualization,etl,git,data-architecture,amazon-web-services,apache-spark,spark,dynamodb,back-end,cloud-computing,data-engineer,cloud,bitbucket,data-lake,,,,,,,,,,,,,,,,,
sap,oracle,crm,english,cloud,linux,erp,unix,,,,,,,,,,,,,,,,,,,,,,,,,
qa,angularjs,qa-automation,selenium,tdd,postman,back-end,user-testing,javascript,testing-frameworks,angular,java,front-end,,,,,,,,,,,,,,,,,,,,
devops,virtualization,docker,azure,kubernetes,ci-cd,cloud-computing,terraform,cloud,infrastructure-as-code,linux,gitlab,,,,,,,,,,,,,,,,,,,,,
devops,jira,ci-cd,agile,cloud,project-management,,,,,,,,,,,,,,,,,,,,,,,,,,,
cloud-gcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devops,python,go,virtualization,golang,docker,azure,amazon-web-services,kubernetes,sre,cloud-gcp,back-end,ci-cd,cloud-computing,cloud,linux,unix,english,,,,,,,,,,,,,,,
qa,data-science,user-testing,qa-engineer,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nosql,sql,uml,qa,c-sharp,devops,c,mongodb,scrum,azure,selenium,api,tdd,soapui,postman,jira,back-end,automatizacion,ci-cd,user-testing,agile,cloud-computing,javascript,testing-frameworks,cloud,appium,,,,,,,
sql,virtualization,scrum,microservices,websphere,amazon-web-services,gradle,api,bios,bdd,agile,cloud-computing,testing-frameworks,cloud,soap,,,,,,,,,,,,,,,,,,
virtualization,amazon-web-services,kubernetes,cloud-computing,terraform,cloud,infrastructure-as-code,software-architect,security-engineer,,,,,,,,,,,,,,,,,,,,,,,,
virtualization,azure,amazon-web-services,cloud-gcp,cloud-computing,cloud,security-engineer,cybersecurity-certifications,devops,continuous-deployment,itil,ci-cd,bdd,tech-lead,user-testing,cobit,cloud-architecture,cloud-engineer,nist,,,,,,,,,,,,,,
nosql,devops,continuous-integration,analytics,virtualization,mongodb,docker,amazon-web-services,elasticsearch,jenkins,ci-cd,rdbms,cloud-computing,english,terraform,cloud,infrastructure-as-code,continual-improvement-process,data-visualization,github,data-lake,,,,,,,,,,,,
devops,c,virtualization,amazon-web-services,educacion,back-end,ci-cd,cloud-computing,cloud,infrastructure-as-code,software-architect,cloud-architecture,administration,,,,,,,,,,,,,,,,,,,,
excel,qa,oracle,scrum,selenium,api,tdd,swagger,soapui,jira,automatizacion,karate,agile,qa-engineer,testing-frameworks,functional-qa,software-analyst,confluence,jmeter,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,,,,,,,,,,,,,
groovy,devops,python,virtualization,docker,git,microservices,kubernetes,api,back-end,ci-cd,cloud-computing,terraform,cloud,infrastructure-as-code,linux,administration,splunk,,,,,,,,,,,,,,,
english,accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devops,continuous-integration,virtualization,docker,circleci,kubernetes,jenkins,ansible,travis-ci,ci-cd,terraform,infrastructure-as-code,cloudformation,linux,gitlab,,,,,,,,,,,,,,,,,,
oracle,linux,unix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sysadmin,python,back-end,security-engineer,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excel,sql,power-bi,data-visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continuous-integration,virtualization,amazon-web-services,jenkins,ci-cd,cloud-computing,english,terraform,cloud,infrastructure-as-code,security-engineer,github,,,,,,,,,,,,,,,,,,,,,
sysadmin,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python,virtualization,docker,git,microservices,amazon-web-services,back-end,ci-cd,cloud-computing,cloud,infrastructure-as-code,linux,gitlab,github,kubernetes,,,,,,,,,,,,,,,,,,
qa,ux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa,scrum,selenium,tdd,postman,agile,testing-frameworks,back-end,javascript,usabilidad,angularjs,angular,java,front-end,diseno-ui,qa-automation,,,,,,,,,,,,,,,,,
mysql,web-server,postgresql,virtualization,docker,git,azure,kubernetes,nginx,ci-cd,siem,cloud-computing,english,cloud,security-engineer,linux,bitbucket,siem-c1092d5c-11b9-4644-a424-7c3a3cc53224,,,,,,,,,,,,,,,
sql,qa,python,deep-learning,data-science,keras,pytorch,back-end,data-analysis,functional-qa,machine-learning-engineer,machine-learning,ai,,,,,,,,,,,,,,,,,,,,
rest,cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
responsive,qa,html5,php,python,css,scrum,bootstrap,diseno-web,selenium,api,tdd,figma,soapui,postman,jira,back-end,automatizacion,agile,javascript,testing-frameworks,jmeter,bitbucket,diseno-ui,,,,,,,,,
qa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svn,sql,continuous-integration,jenkins,jira,gitlab,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysql,sql,sap,oracle,postgresql,sql-server,cloud,linux,,,,,,,,,,,,,,,,,,,,,,,,,
devops,virtualization,amazon-web-services,kubernetes,educacion,ci-cd,agile,cloud-computing,cloud,,,,,,,,,,,,,,,,,,,,,,,,
qa,jira,agile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sql,oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devops,virtualization,docker,amazon-web-services,kubernetes,ci-cd,cloud-computing,terraform,cloud,infrastructure-as-code,ruby,ruby-on-rails,sysadmin,back-end,github,,,,,,,,,,,,,,,,,,
virtualization,amazon-web-services,kubernetes,sre,cloud-computing,english,cloud,security-engineer,,,,,,,,,,,,,,,,,,,,,,,,,
devops,python,virtualization,docker,git,jira,ansible,back-end,ci-cd,terraform,infrastructure-as-code,openshift,linux,unix,confluence,bitbucket,github,,,,,,,,,,,,,,,,
usabilidad,qa,continuous-integration,scrum,selenium,jenkins,tdd,automatizacion,ci-cd,agile,testing-frameworks,machine-learning,jmeter,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,audit,gitlab,ai,diseno-ui,,,,,,,,,,,,,,,
nestjs,node-js,devops,virtualization,vue-js,docker,amazon-web-services,express,back-end,ci-cd,cloud-computing,typescript,javascript,cloud,front-end,gitlab,github,,,,,,,,,,,,,,,,
business-intelligence,sql,devops,etl,azure,kubernetes,back-end,ci-cd,cloud-computing,english,javascript,data-analysis,cloud,java,data-lake,,,,,,,,,,,,,,,,,,
business-intelligence,sql,etl,azure,kubernetes,back-end,ci-cd,cloud-computing,english,javascript,data-analysis,cloud,java,cloud-engineer,data-lake,,,,,,,,,,,,,,,,,,
usabilidad,qa,scrum,api,postman,jira,agile,confluence,diseno-ui,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,,,,,,,,,,,,,,,,,,,,,,,
sql,qa,selenium,sql-server,api,tdd,postman,automatizacion,testing-frameworks,appium,jmeter,soap,,,,,,,,,,,,,,,,,,,,,
qa,continuous-integration,selenium,jenkins,tdd,karate,user-testing,testing-frameworks,,,,,,,,,,,,,,,,,,,,,,,,,
qa,devops,azure,selenium,data-science,tdd,ci-cd,karate,user-testing,cloud-computing,testing-frameworks,cloud,,,,,,,,,,,,,,,,,,,,,
qa,devops,continuous-integration,azure,selenium,data-science,jenkins,tdd,postman,ci-cd,karate,user-testing,cloud-computing,testing-frameworks,cloud,,,,,,,,,,,,,,,,,,
qa,qa-automation,selenium,tdd,testing-frameworks,python,git,back-end,java,,,,,,,,,,,,,,,,,,,,,,,,
qa,qa-automation,selenium,tdd,testing-frameworks,devops,python,azure,api,postman,back-end,ci-cd,karate,cloud-computing,cloud,java,soap,,,,,,,,,,,,,,,,
sql,node-js,html5,net,oracle,php,css,itil,full-stack,back-end,javascript,,,,,,,,,,,,,,,,,,,,,,
qa,qa-automation,rest,automatizacion,user-testing,agile,web-service,,,,,,,,,,,,,,,,,,,,,,,,,,
c,back-end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa,ux,devops,planning,azure,ci-cd,agile,cloud-computing,cloud,,,,,,,,,,,,,,,,,,,,,,,,
sql,oracle,sql-server,database-administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
java,android,english,back-end,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net,css,agile,sql,scrum,bootstrap,back-end,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,,,,,,,,,,,,,,,,,,,,,,,,,
android,ios,git,rest,virtualization,amazon-web-services,cloud-computing,tdd,english,flutter,cloud-gcp,ci-cd,mobile,user-testing,dart,cloud,,,,,,,,,,,,,,,,,
front-end,flutter,security-engineer,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
android,kotlin,jira,mobile,confluence,jetpack,,,,,,,,,,,,,,,,,,,,,,,,,,,
javascript,android,ios,nosql,mongodb,redux,react-native,back-end,mobile,firebase,,,,,,,,,,,,,,,,,,,,,,,
react-native,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,objective-c,swift,continuous-integration,api,cocoapods,mobile,firebase,,,,,,,,,,,,,,,,,,,,,,,,,
javascript,android,ios,rest,continuous-integration,react-native,english,ci-cd,mobile,debugging,websockets,,,,,,,,,,,,,,,,,,,,,,
ios,swift,uml,graphql,api,english,cocoapods,mobile,user-testing,swiftui,,,,,,,,,,,,,,,,,,,,,,,
ios,rest,cocoa,mac-osx-development,swift,mvc,english,ci-cd,mobile,user-testing,,,,,,,,,,,,,,,,,,,,,,,
javascript,java,android,front-end,git,json,angularjs,devops,api,kotlin,back-end,ci-cd,mobile,spring-boot,angular,soap,,,,,,,,,,,,,,,,,
android,diseno-ui,agile,git,material-design,api,kotlin,mobile,,,,,,,,,,,,,,,,,,,,,,,,,
ios,swift,cocoapods,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
android,go,golang,kotlin,mobile,debugging,,,,,,,,,,,,,,,,,,,,,,,,,,,
javascript,android,ios,react,react-native,english,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,
android,ios,swift,kotlin,tech-lead,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,mobile,debugging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruby-on-rails,android,ios,react-native,mobile,firebase,software-analyst,,,,,,,,,,,,,,,,,,,,,,,,,,
java,android,agile,front-end,git,scrum,cloud-computing,api,kotlin,back-end,mobile,firebase,dagger,cloud,gradle,jetpack,,,,,,,,,,,,,,,,,
javascript,android,ios,react,react-native,english,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,
android,kotlin,mobile,jetpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
android,diseno-ui,agile,git,material-design,api,kotlin,mobile,,,,,,,,,,,,,,,,,,,,,,,,,
javascript,android,ios,agile,git,scrum,api,typescript,flutter,mobile,dart,,,,,,,,,,,,,,,,,,,,,,
javascript,android,ios,html5,css,front-end,git,rest,node-js,angularjs,react,ionic,redux,react-native,api,typescript,back-end,mobile,angular,,,,,,,,,,,,,,
android,diseno-ui,agile,git,material-design,api,kotlin,mobile,,,,,,,,,,,,,,,,,,,,,,,,,
ios,objective-c,swift,english,cocoapods,ci-cd,mobile,user-testing,,,,,,,,,,,,,,,,,,,,,,,,,
javascript,java,android,ios,diseno-ui,front-end,git,diseno-web,swift,ionic,vue-js,microservices,react-native,api,kotlin,flutter,figma,back-end,mobile,,,,,,,,,,,,,,
ios,diseno-ui,swift,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
android,diseno-ui,agile,git,material-design,api,kotlin,mobile,,,,,,,,,,,,,,,,,,,,,,,,,
java,android,ios,rest,redux,react-native,back-end,mobile,,,,,,,,,,,,,,,,,,,,,,,,,
javascript,android,ios,react,react-native,typescript,mobile,debugging,,,,,,,,,,,,,,,,,,,,,,,,,
virtualization,amazon-web-services,react-native,cloud-computing,english,mobile,cloud,,,,,,,,,,,,,,,,,,,,,,,,,,
ios,agile,rest,swift,microservices,ci-cd,mobile,swiftui,gitlab,,,,,,,,,,,,,,,,,,,,,,,,
javascript,ios,diseno-ui,html5,css,responsive,agile,front-end,git,diseno-web,react,scrum,react-native,es6,figma,mobile,,,,,,,,,,,,,,,,,
ios,agile,git,swift,mobile,user-testing,design-systems,swiftui,gitlab,,,,,,,,,,,,,,,,,,,,,,,,
