0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
agile,devops,scrum,azure,design-thinking,cloud-computing,scrum-master,jira,ci-cd,cloud,,,,,,,,,,,,,,,,,,,,,,,
agile,go,golang,product-manager,jira,product-owner,educacion,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,devops,scrum,azure,design-thinking,cloud-computing,scrum-master,jira,ci-cd,cloud,,,,,,,,,,,,,,,,,,,,,,,
agile,sql,project-management,english,jira,erp,sql-server,,,,,,,,,,,,,,,,,,,,,,,,,,
ux,agile,jira,product-owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agile,scrum,scrum-master,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
java,agile,sql,project-management,e-commerce,english,back-end,cloud,,,,,,,,,,,,,,,,,,,,,,,,,
agile,excel,scrum,jira,business-analyst,confluence,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5,css,git,bootstrap,react,next-js,javascript,,,,,,,,,,,,,,,,,,,,,,,,,,
sql,c-sharp,angularjs,c,net,mvc,back-end,javascript,angular,front-end,visual-basic,,,,,,,,,,,,,,,,,,,,,,
sql,ux,c-sharp,angularjs,c,react,sql-server,back-end,javascript,angular,front-end,continual-improvement-process,,,,,,,,,,,,,,,,,,,,,
java,spring-boot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruby-on-rails,agile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node-js,virtualization,git,react,data-architecture,amazon-web-services,full-stack,dynamodb,back-end,agile,cloud-computing,typescript,english,javascript,cloud,,,,,,,,,,,,,,,,,,
html5,analytics,css,virtualization,vue-js,amazon-web-services,npm,jest,cypress,mocha,cloud-computing,typescript,english,javascript,testing-frameworks,cloud,front-end,security-engineer,,,,,,,,,,,,,,,
ruby-on-rails,git,user-testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node-js,react,cto,back-end,tech-lead,javascript,cloud,,,,,,,,,,,,,,,,,,,,,,,,,,
ruby,ruby-on-rails,react,back-end,javascript,cloud,project-management,node-js,tech-lead,,,,,,,,,,,,,,,,,,,,,,,,
cto,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysql,nosql,zend,node-js,analytics,php,postgresql,virtualization,trafficker,mongodb,docker,git,microservices,data-architecture,amazon-web-services,api,dynamodb,back-end,cloud-computing,laravel,english,javascript,cloud,security-engineer,web-service,,,,,,,,
node-js,virtualization,amazon-web-services,api,back-end,cloud-computing,english,javascript,terraform,cloud,infrastructure-as-code,,,,,,,,,,,,,,,,,,,,,,
wordpress,jquery,html5,php,css,e-commerce,jira,back-end,agile,javascript,bitbucket,,,,,,,,,,,,,,,,,,,,,,
mysql,nosql,nestjs,node-js,angularjs,oracle,go,postgresql,virtualization,golang,mongodb,amazon-web-services,full-stack,back-end,firebase,mobile,cloud-computing,typescript,javascript,cloud,angular,front-end,,,,,,,,,,,
svn,node-js,angularjs,html5,oracle,css,maven,git,bootstrap,spring,full-stack,back-end,tomcat,javascript,angular,java,front-end,spring-boot,project-management,,,,,,,,,,,,,,
c,python,c--2,blockchain,smart-contracts,back-end,java,english,node-js,javascript,,,,,,,,,,,,,,,,,,,,,,,
excel,sql,automatizacion,tech-lead,agile,bpmn,,,,,,,,,,,,,,,,,,,,,,,,,,,
nosql,sql,microservices,spring,api,back-end,javascript,java,spring-boot,bpmn,,,,,,,,,,,,,,,,,,,,,,,
fastapi,django,continuous-integration,python,react,back-end,ci-cd,javascript,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,html5,php,python,css,virtualization,docker,git,bootstrap,api,full-stack,back-end,mobile,android,javascript,,,,,,,,,,,,,,,,,,
nestjs,node-js,css,react,next-js,full-stack,back-end,javascript,,,,,,,,,,,,,,,,,,,,,,,,,
sql,virtualization,data-architecture,amazon-web-services,cloud-computing,data-engineer,cloud,security-engineer,,,,,,,,,,,,,,,,,,,,,,,,,
routing,switching,security-engineer,cisco,networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruby,ruby-on-rails,python,vue-js,react,full-stack,back-end,javascript,front-end,,,,,,,,,,,,,,,,,,,,,,,,
redis,svn,nosql,node-js,mongodb,git,couchdb,back-end,agile,javascript,continuous-integration,virtualization,docker,microservices,kubernetes,jenkins,api,tdd,bdd,,,,,,,,,,,,,,
sql,software-developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
git,nosql,virtualization,mongodb,scrum,data-architecture,amazon-web-services,rust,agile,cloud-computing,english,cloud,kanban-cbe618f9-934b-4c01-87ae-4d0c7093da2b,debugging,,,,,,,,,,,,,,,,,,,
apex,crm,salesforce,back-end,java,api,rest,soap,web-service,,,,,,,,,,,,,,,,,,,,,,,,
html5,adobe-suite,css,photoshop,bootstrap,diseno-web,javascript,,,,,,,,,,,,,,,,,,,,,,,,,,
django,python,virtualization,docker,amazon-web-services,kubernetes,api,rest,back-end,cloud-computing,english,cloud,,,,,,,,,,,,,,,,,,,,,
c-sharp,c,net,python,virtualization,microservices,amazon-web-services,back-end,cloud-computing,javascript,cloud,,,,,,,,,,,,,,,,,,,,,,
c-sharp,c,net,oracle,back-end,microservices,pl-sql,,,,,,,,,,,,,,,,,,,,,,,,,,
python,virtualization,microservices,amazon-web-services,api,back-end,tech-lead,cloud-computing,english,javascript,cloud,,,,,,,,,,,,,,,,,,,,,,
node-js,python,virtualization,vue-js,docker,git,amazon-web-services,api,back-end,cloud-computing,javascript,cloud,front-end,full-stack,,,,,,,,,,,,,,,,,,,
jquery,sql,analytics,python,virtualization,bigquery,amazon-web-services,cloud-gcp,back-end,firebase,mobile,cloud-computing,javascript,cloud,java,google-tag-manager,full-stack,,,,,,,,,,,,,,,,
fastapi,django,python,flask,microservices,back-end,english,,,,,,,,,,,,,,,,,,,,,,,,,,
jquery,sql,analytics,python,virtualization,bigquery,amazon-web-services,full-stack,cloud-gcp,back-end,firebase,mobile,cloud-computing,javascript,cloud,java,google-tag-manager,,,,,,,,,,,,,,,,
json,azure,microservices,api,back-end,mulesoft,cloud-computing,english,cloud,java,soa,,,,,,,,,,,,,,,,,,,,,,
html5,css,virtualization,sketch,diseno-web,amazon-web-services,wireframes,cloud-computing,typescript,javascript,cloud,diseno-ui,vue-js,api,,,,,,,,,,,,,,,,,,,
sql,c-sharp,c,analytics,net,oracle,virtualization,data-architecture,amazon-web-services,sql-server,dynamodb,back-end,agile,cloud-computing,cloud,,,,,,,,,,,,,,,,,,
